,Date,Time,trump,donald,biden,joe,president,debate,hunter,vote,people,election,campaign
0,22,15,58,6,34,10,18,2,15,20,15,2,0
1,22,16,249,26,113,37,37,17,25,57,35,7,11
2,22,17,235,20,115,53,55,16,39,57,32,13,20
3,22,18,189,15,116,48,44,15,35,40,32,21,10
4,22,19,223,20,120,60,54,36,53,44,31,26,15
5,22,20,208,26,127,54,60,45,53,39,32,35,12
6,22,21,197,14,122,49,72,32,44,34,27,16,18
7,22,22,230,31,143,64,84,37,54,48,21,32,15
8,22,23,167,28,126,69,55,32,45,27,25,20,15
9,23,0,51,8,41,18,12,17,19,10,10,4,10
10,23,1,124,21,65,29,39,21,9,5,33,3,5
11,23,2,124,25,71,32,67,19,3,24,17,1,7
12,23,3,104,16,77,36,49,32,8,26,11,6,3
13,23,4,81,6,54,24,37,23,2,7,16,4,4
14,23,5,69,8,56,27,27,21,6,9,8,3,1
15,23,6,92,13,70,33,22,16,11,5,8,5,1
16,23,7,100,18,56,28,21,31,4,7,7,3,1
17,23,8,91,12,53,22,19,30,5,9,10,0,2
18,23,9,77,13,57,25,22,19,4,3,8,1,3
19,23,10,86,9,44,19,20,26,7,8,7,4,1
20,23,11,70,12,63,24,16,32,7,8,9,3,2
21,23,12,77,10,59,25,18,23,5,11,13,4,3
22,23,13,79,3,37,19,21,13,4,9,10,7,3
23,23,14,78,6,41,25,17,12,5,11,11,13,3
24,23,15,74,2,54,29,22,20,10,19,9,4,3
25,23,16,75,11,50,20,16,14,4,14,17,5,5
26,23,17,79,7,42,14,27,8,4,14,8,13,3
27,23,18,67,5,45,23,14,13,3,9,13,3,2
28,23,19,61,8,45,26,20,11,3,10,12,6,3
29,23,20,57,5,38,21,25,11,5,9,11,1,6
30,23,21,62,5,52,22,27,4,7,8,11,3,4
31,23,22,84,8,31,15,28,11,2,7,11,7,6
32,23,23,78,3,46,19,25,7,6,15,9,7,3
