year,trump,donald,biden,joe,president,debate,hunter,vote,people
0,58,6,34,10,18,2,15,20,15
1,249,26,113,37,37,17,25,57,35
2,235,20,115,53,55,16,39,57,32
3,189,15,116,48,44,15,35,40,32
4,223,20,120,60,54,36,53,44,31
5,208,26,127,54,60,45,53,39,32
6,197,14,122,49,72,32,44,34,27
7,230,31,143,64,84,37,54,48,21
8,167,28,126,69,55,32,45,27,25
9,51,8,41,18,12,17,19,10,10
10,124,21,65,29,39,21,9,5,33
11,124,25,71,32,67,19,3,24,17
12,104,16,77,36,49,32,8,26,11
13,81,6,54,24,37,23,2,7,16
14,69,8,56,27,27,21,6,9,8
15,92,13,70,33,22,16,11,5,8
16,100,18,56,28,21,31,4,7,7
17,91,12,53,22,19,30,5,9,10
18,77,13,57,25,22,19,4,3,8
19,86,9,44,19,20,26,7,8,7
20,70,12,63,24,16,32,7,8,9
21,77,10,59,25,18,23,5,11,13
22,79,3,37,19,21,13,4,9,10
23,78,6,41,25,17,12,5,11,11
24,74,2,54,29,22,20,10,19,9
25,75,11,50,20,16,14,4,14,17
26,79,7,42,14,27,8,4,14,8
27,67,5,45,23,14,13,3,9,13
28,61,8,45,26,20,11,3,10,12
29,57,5,38,21,25,11,5,9,11
30,62,5,52,22,27,4,7,8,11
31,84,8,31,15,28,11,2,7,11
32,78,3,46,19,25,7,6,15,9
