id,created_at,tweet,lang,source,retweet_count,user.favourites_count,user.followers_count,user.name,user.profile_image_url
1319302699460878337,2020-10-22 15:40:49,option rude outright telling lies go trump maga2020  ,en,Twitter Web App,0,2818,399,Cathy Richardson,http://pbs.twimg.com/profile_images/1323650349102559232/sGIHivj4_normal.jpg
1319393523804835842,2020-10-22 21:41:43,breitbartnews trump lowered corporate tax rate 21  ceo shareholders got richer millionaire sh  ,en,Twitter for iPhone,794,19680,522,KBMOF,http://pbs.twimg.com/profile_images/1327810173520519171/Ydp3hTTh_normal.jpg
1319393355843907584,2020-10-22 21:41:03,rt lydiablackxo  sent ballot last week  hbu ,en,Twitter for iPhone,0,74016,5076,Diane Crawford 🇨🇦,http://pbs.twimg.com/profile_images/1459162488612786190/IOIsrWjE_normal.jpg
1319351634611171328,2020-10-22 18:55:16,rt charles_lister   dutch researcher managed log realdonaldtrump  twitter account guessing password   maga2020    ,en,Twitter for iPhone,1,104130,67632,✨BLM forever✊🏾,http://pbs.twimg.com/profile_images/1260733510148448257/4MqWhmgX_normal.jpg
1319304080016216064,2020-10-22 15:46:18,mikeokuda see 2 things might happen last debate 1 trump show whin  ,en,Twitter Web App,2453,1943,118,Michael Too Many Keyboards Nicoletti,http://pbs.twimg.com/profile_images/1438693000574607365/_MubsDUQ_normal.jpg
1319309842666811394,2020-10-22 16:09:12,rt seanhannity  antitrump lincoln project caught peddling iranian disinformation ,en,Twitter for Android,0,699,66,Mean people suck.,http://pbs.twimg.com/profile_images/1426774869748842497/G9L80qCW_normal.jpg
1319389274672930817,2020-10-22 21:24:50,rt shaneharris  big deal  trump issues order career federal employees lose civil service protections http ,en,Twitter for Android,568,30,39,Lawrence Roberts,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
1319381305977499649,2020-10-22 20:53:10,rt nilesgapol  sure  subtract genocide  slavery  segregation jim crow america always great people like  ,en,Twitter for Android,1556,26272,592,Joyce Owen,http://pbs.twimg.com/profile_images/1452756006597840897/cplJaHBu_normal.jpg
1319339752378728449,2020-10-22 18:08:03,rt kamalaharris  democratic senate colleagues boycotted supreme court nominee committee vote today let  clear  nomi ,en,Tweetbot for iΟS,20,24883,4028,Cara Stewart,http://pbs.twimg.com/profile_images/1444844180828721155/rAVaw5dQ_normal.jpg
1319354423882272768,2020-10-22 19:06:21,senwarren take care house police rest world,en,Twitter Web App,919,28181,143,Mybizzness,http://pbs.twimg.com/profile_images/1348831108172013572/drVkYo-P_normal.jpg
1319369122937856000,2020-10-22 20:04:46,perfectly tho  ,en,Twitter for iPhone,17837,99422,108,gregorio,http://pbs.twimg.com/profile_images/1450091185700163587/0JocTMln_normal.jpg
1319368324636082176,2020-10-22 20:01:35,rt adamserwer  republicans working paranoid rage discriminated  held st ,en,Twitter Web App,0,399,7,ColdAssHonkey,http://pbs.twimg.com/profile_images/1299360797227798528/SLV-JNos_normal.jpg
1319411143253909506,2020-10-22 22:51:44,rt ddale8  raw 60 minutes tape posted trump begins  stahl  ready tough questions  trump  fair stahl  last tim ,en,Twitter for iPhone,1434,114771,408,RMG,http://pbs.twimg.com/profile_images/752347359250558976/I_07gsz7_normal.jpg
1319364590854008833,2020-10-22 19:46:45,rt foxnews  trump plans bring exhunter biden associate tony bobulinski guest debate tonight   ,en,Twitter Web App,2,23204,933,Obi Mom Kenobi aka Lexa Rose,http://pbs.twimg.com/profile_images/1442997355758845952/up_E6sy9_normal.jpg
1319334568210632707,2020-10-22 17:47:27,stevelawrence_ 45moomin realdonaldtrump literally,en,Twitter for iPhone,1174,103580,388,Jim Boisse,http://pbs.twimg.com/profile_images/1169744915116507136/ldmsMrEf_normal.jpg
1319344747664855042,2020-10-22 18:27:54,rt projectlincoln  12 days trump  fired first time life ,en,Twitter for iPhone,7317,32753,250,🌻💖TRACY💖🌻,http://pbs.twimg.com/profile_images/1397246822020702212/au8NIerP_normal.jpg
1319375420798738432,2020-10-22 20:29:47,rt rgoodlaw  stahl notes sources hunter biden laptop story giuliani bannon trump    know anything  ,en,Twitter for iPhone,1875,51041,181,Universal Dorks 🇺🇸🏳️‍🌈,http://pbs.twimg.com/profile_images/1444005084258525184/KAOeB3V4_normal.jpg
1319326716343574530,2020-10-22 17:16:15,rt mzhemingway  thread lesley stahl  completely ignorant partisan indefensible performance interview embarrassment ,en,Twitter Web App,0,25644,1604,🏴󠁧󠁢󠁳󠁣󠁴󠁿≋𝕀𝕤𝕝𝕖𝕤≋𝕄𝕖𝕕𝕚𝕒≋🏴󠁧󠁢󠁳󠁣󠁴,http://pbs.twimg.com/profile_images/1459905358491750402/-csoGpEG_normal.jpg
1319305044672565248,2020-10-22 15:50:08,rt joebiden   running proud democrat american president ,en,Twitter for Android,9798,4542,1564,Better Dayz #BlackLivesMatter,http://pbs.twimg.com/profile_images/1365501050346745856/Qr169JVN_normal.jpg
1319351639132733443,2020-10-22 18:55:17,donaldjtrumpjr joebiden wants puppy christmas  ,en,Twitter Web App,0,61,182,Lalisa Mohammed,http://pbs.twimg.com/profile_images/1445093841716056075/0ckAjBxN_normal.jpg
1319322409111965703,2020-10-22 16:59:08,rt jackposobiec  overheard debate room wellknown correspondent leading antitrump network   going long 2nd ,en,Twitter Web App,550,86490,364,JWheels,http://pbs.twimg.com/profile_images/1430964063593320451/aQveEdB3_normal.jpg
1319334798435835905,2020-10-22 17:48:22,rt mattietimmer  roughly 264 hrs remain candidates drive home final message president biden   ,en,Twitter for Android,5158,40617,60,The Drunk Introvert,http://pbs.twimg.com/profile_images/1273649210596917253/1kpL_MwM_normal.jpg
1319394226824728586,2020-10-22 21:44:31,hope admit accept something wrong america  trump ,en,Twitter for iPad,21350,85590,24,Jack,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
1319386371690254337,2020-10-22 21:13:18,maddow reason hunter biden could sell father  name taken millions dollars ccp b  ,en,Twitter for iPhone,0,25849,2414,Misha,http://pbs.twimg.com/profile_images/1400567990022807554/qhCmWJPY_normal.jpg
1319427186592522242,2020-10-22 23:55:29,rt barbrastreisand  trump always nasty strong women hillary clinton  nancy pelosi  megyn kelly  governor whitmer  elizabeth w ,en,Twitter Web App,6368,10470,75,Jeremiah Westgate,http://pbs.twimg.com/profile_images/1337784370053197825/3j3Geaze_normal.jpg
1319310191276388352,2020-10-22 16:10:35,rt kamalaharris  instagram live tonight 6  30pm et mileycyrus  see soon ,en,Twitter for iPad,68,45008,191,Bob Hunchberger,http://pbs.twimg.com/profile_images/378800000075337422/85470adf02b885ba0814fa5aa9d0e00d_normal.jpeg
1319397306995621888,2020-10-22 21:56:45,really comes  cui bono  funding npr  public certainly foundations  ,en,Twitter for iPhone,0,5600,148,Corey Spruill,http://pbs.twimg.com/profile_images/425492108393201664/OqhYqR35_normal.jpeg
1319405171173134337,2020-10-22 22:28:00,chrisvanhollen speaking biden please remember call former vice president  capable  ,en,Twitter Web App,0,25482,141,Jane,http://pbs.twimg.com/profile_images/1336519598506708995/eLUWzCn8_normal.jpg
1319418106725453826,2020-10-22 23:19:24,rt donaldjtrumpjr   running scandal  joebiden corruption exposed even unpaid rapid resp ,en,Twitter for iPhone,589,5906,39,Gailsfolly,http://pbs.twimg.com/profile_images/964057713872424962/yiqNweTW_normal.jpg
1319406080435236865,2020-10-22 22:31:37,rt matthijs85  presidential debate commission adopts rules mute microphones   trump angry pre ,en,Twitter for iPhone,1705,4535,20,kkhb,http://pbs.twimg.com/profile_images/1394528935543590914/8D8_53Ev_normal.jpg
1319399030204620800,2020-10-22 22:03:36,rt thelaurenchen  enemy people ,en,Twitter Web App,0,1813,3597,HealthChoiceVT,http://pbs.twimg.com/profile_images/601576627823251456/XXIc1y2n_normal.png
1319380194294173700,2020-10-22 20:48:45,rt duty2warn  lest think photo trump using two hands drink water archival     recent 60 minutes ses ,en,Twitter for iPhone,0,12,9,Sherry Bryant,http://pbs.twimg.com/profile_images/1312082143351316481/CqNJa7ww_normal.jpg
1319368395524014082,2020-10-22 20:01:52,rt kylegriffin1   60 minutes  trump posted  stahl asks trump health care plan never released says one  ,en,Twitter for iPhone,4060,8457,211,angie smith,http://pbs.twimg.com/profile_images/1435758859482710017/Hp_9pask_normal.jpg
1319358156758278144,2020-10-22 19:21:11,realdonaldtrump please help us congress doesnt seem care people  laughing wer  ,en,Twitter Web App,1,88703,699,GalacticFederationUnderCoverAtRU,http://pbs.twimg.com/profile_images/1358528144911831042/NwZ_kkW7_normal.jpg
1319338774673936384,2020-10-22 18:04:10,rt marklevinshow  joe biden laziest candidate history avoiding scrutiny ,en,Twitter for Android,236,10704,42,contingent 50,http://pbs.twimg.com/profile_images/1351967696112537604/M8X1wcwD_normal.jpg
1319317308318203905,2020-10-22 16:38:52,rt remibald  family get electricity senior year high school get running water graduated ,en,Twitter for Android,721,19159,179,OKKO 2.0,http://pbs.twimg.com/profile_images/1306614658611122176/QGMm8fou_normal.jpg
1319307342869979137,2020-10-22 15:59:16,rt alrightyaubrey  latinos trump embarrassing,en,Twitter for iPhone,3234,443562,12838,Nefarious Aquarius 🍀🇺🇸,http://pbs.twimg.com/profile_images/1372665534957772801/SuOLu1FL_normal.jpg
1319379669859233793,2020-10-22 20:46:40,rt nataliegwinters  world exclusive  smoking gun biden emails reveal lobbied father political favors  claimed   ask wi ,en,Twitter Web App,0,185,22,chadz,http://pbs.twimg.com/profile_images/656245444821913600/486Mw8aX_normal.jpg
1319414654091788292,2020-10-22 23:05:41,rt cassywearsheels   voting president trump keep america great    ,en,Twitter for iPad,4516,34039,266,"Proud to be an anti-communist, deplorable ginger!",http://pbs.twimg.com/profile_images/1239266286133227520/uH3EGK36_normal.jpg
1319384446676705281,2020-10-22 21:05:39,rt therealhoarse  need clear happened   trump admin knew russia seriously attacking election ,en,Twitter for Android,57,50001,2300,Thomas Elness,http://pbs.twimg.com/profile_images/1296617062572457991/1RuHescF_normal.jpg
1319356332634296320,2020-10-22 19:13:56,rt ddale8  stahl    people preexisting conditions   trump    protect  totally protected  stahl   ,en,Twitter for iPhone,3808,8347,269,annie ⁂,http://pbs.twimg.com/profile_images/1426432766804115460/GF6wgdqR_normal.jpg
1319423013620596736,2020-10-22 23:38:54,bmeiselas already voted joe biden pass,en,Twitter for iPhone,525,38196,126,Cheryl Hernandez,http://pbs.twimg.com/profile_images/1399615614482743299/Ql8fNMkF_normal.jpg
1319411919825129479,2020-10-22 22:54:49,rt democracyinn  breaking  biden tests negative covid19 ahead final debate trump,en,Twitter for Android,127,50853,148,Made in America,http://pbs.twimg.com/profile_images/1458788870670200832/Z6t9yioA_normal.jpg
1319397079794520067,2020-10-22 21:55:51,rt kamalaharris   would incumbent president office  four years try discourage people voting   bec ,en,Twitter for iPhone,871,14623,190,Clarissa 🏴‍☠️🇲🇽🇺🇸🏳️‍🌈🧢💯 that Bitch.,http://pbs.twimg.com/profile_images/1308081565726134279/KF_npKMT_normal.jpg
